Depertment ,Question,Answer,Explanation,source
"Myeloproliferative Myelodysplastic, and Histiocytic Disorders","Several gene mutations have been associated with juvenile myelomonocytic leukemia
(JMML), and they may or may not have prognostic implications. A gene expression–based
classification system has been found to be an independent predictor of clinical outcome in
these patients. What is the disease signature that predicts a poor outcome?
A. Tyrosine kinase inhibitors
B. Acute myeloid leukemia–like
C. Chronic myeloid leukemia-like
D. BRAF pathway abnormalities",B. Acute myeloid leukemia–like,"The diagnostic category of leukemia and myelodysplastic syndrome (MDS) gene expression
profiling in a large cohort of patients can identify 16 classes of acute and chronic leukemias.
When this gene profiling algorithm was applied to JMML, patients with the worst prognosis
(older than 1 year, more than 9% monocytes, more than 2% peripheral blasts, platelets less than
50,000/mcl, more likely to have elevated hemoglobin for age, and monosomy 7 at presentation)
had an “acute myeloid leukemia–like” gene expression profile.",100mcq's
" Myeloproliferative Myelodysplastic, and Histiocytic Disorders","A female infant is diagnosed with hemophagocytic lymphohistiocytosis (HLH) not
associated with an Epstein-Barr virus (EBV) infection. In taking the family history, you learn
that another female infant died of HLH 2 years ago. Also, a newborn female child died of an
unknown disease 4 years prior and was said have been bleeding profusely, jaundiced, and
had a distended abdomen. When counseling the family about the genetics of HLH, how will
you explain it?
A. It is an X-linked syndrome
B. It is an autosomal recessive syndrome
C. It is a dominant inheritance syndrome
D. It is an autosomal recessive syndrome with incomplete penetrance",B. It is an autosomal recessive syndrome,"There are five genes associated with hemophagocytic lymphohistiocytosis (HLH): MUNC13-4,
STXBP2, RAB27A, STX11, and PRF1. Familial HLH is associated with homozygous defects in
these genes, although the specific mutations carried by each parent may be different. It is rare
that there will be compound heterozygous mutations in two of the associated genes, although this
has been reported. The question specifically avoided EBV-associated HLH to make the
likelihood of SH2D1a (XLP-1) or the BIRC4 (XLP-2) gene defects likely. In the case of XLP-1,
the gene is X-linked.",100mcq's
" Myeloproliferative Myelodysplastic, and Histiocytic Disorders","A 2-month-old infant is brought to your clinic with an extensive scaly rash on the scalp,
which has been biopsied and shown to be Langerhans cell histiocytosis (LCH). You want to
determine whether this patient has skin-only LCH or involvement of any of the “high-risk”
organs. The child has a normal CBC; normal liver enzymes and bilirubin; and a normal
skeletal survey, skull films, and chest X ray.
What other screening test will be important for finding involvement of a high-risk organ?
A. Reticulocyte count
B. Erythrocyte sedimentation rat
C. Alkaline phosphatase
D. Serum albumin and total protein",D. Serum albumin and total protein,"Serum albumin and total protein are very sensitive for detecting decreased synthetic capacity of
the liver and are often abnormal before liver enzymes and bilirubin are elevated. Of course, the
albumin and protein could be low if the child has chronic diarrhea from intestinal involvement. If
that symptom is present, one should do endoscopy with biopsies to prove intestinal involvement.
Liver involvement can be proven by biopsy, which may show CD1a+ cells infiltrating the liver
or just lymphocytic infiltrates. A CT or ultrasound of the abdomen will demonstrate a hypodense
signal along the biliary tracts.",100mcq's
Disorders of Leukocytes,"A young child with consanguineous parents has developmental delay and a history of
multiple recurrent bacterial infections and short stature. He presents to the emergency
department following trauma and requires a blood transfusion. Blood work identifies
leukocytosis, neutrophilia, and the Bombay blood group (absent H antigen as well as absent
A and B antigens). What is this patient’s diagnosis?
A. Chediak-Higashi syndrome
B. Leukocyte adhesion deficiency (LAD) Type II
C. CD18 deficiency
D. Griscelli syndrome",B. Leukocyte adhesion deficiency (LAD) Type II,"This scenario is consistent with leukocyte adhesion deficiency (LAD) Type II, caused by
pathogenic biallelic variants in SLC35C1. As a result, fucosylation of macromolecules is
defective, resulting in no SLeX (CD15) on myeloid cells and the red blood cell phenotype
(Bombay) described above. Infections typically are not as severe as they are in LAD-I, though
patients have associated severe mental deficits, short stature, and distinctive facial appearance.
XLP and Griscelli syndrome are associated with defects in vesicle trafficking with risk of
hemophagocytic lymphohistiocytosis (HLH). CD18 deficiency is associated with LAD-I.",100mcq's
Disorders of Leukocytes,"A 4-year-old male child presents to the emergency department with his fourth invasive Staph
infection. CBC consistently identifies moderate neutropenia. Sophisticated lab testing
identifies lack of Toll-like receptor responses. The patient undergoes whole exome
sequencing and is found to have pathogenic variants in IRAK4. What does “IRAK4” stand
for?
A. Interferon gamma receptor-associated kinase 4
B. Inducible RAS activating kinase 4
C. Interleukin-1 receptor-associated kinase 4
D. Immune response activating kinase 4",C. Interleukin-1 receptor-associated kinase 4,"IRAK4 is interleukin-1 (IL1) receptor-associated kinase 4 and plays critical roles in initiating
innate immune responses against pathogens. Patients with IRAK4 dysfunction have frequent
bacterial infections but rarely experience abnormal viral or parasitic infections. This is due to the
role of IL1 and Toll-like receptors (TLR) in inducing innate immune responses to bacteria.
Deficiency of MyD88 has a clinically identical phenotype. TLR signaling (except TLR3) and
most IL1R require functional IRAK4 and MyD88.",100mcq's
Disorders of Leukocytes,"An avid 16-year-old triathlete was in a bike accident and developed cellulitis, which was
treated with Bactrim. While still on antibiotics, he moved with his family from Houston to
Denver, and during the car trip he developed fever, pharyngitis, and malaise. Upon arriving
in Denver he presented to the emergency department and was noted to have significant
lymphocytosis with some atypical lymphocytes. What is the most likely cause of the white
blood cell abnormalities?
A. Drug reaction
B. Altitude higher than 5,000 ft above sea level
C. GATA2 mutation
D. Epstein-Barr virus infection",D. Epstein-Barr virus infection,"
This patient most likely has acute primary Epstein-Barr virus infection (mononucleosis), which
frequently is associated with elevated lymphocyte count as well as atypical lymphocytes. Many
drugs, including sulfonamides, and living at high elevations can be associated with neutropenia.
GATA2 can be associated with loss of monocytic populations with risk of infections and
myeloid malignancies.",100mcq's
"Retinoblastoma, Germ Cell Tumors, and Hepatoblastoma","You have been asked to see a 15-year-old girl who is being referred for evaluation of an
ovarian mass. Her history is also significant for secondary amenorrhea, and physical
examination shows signs of virilization. As you review her family history, what syndrome
will you consider?
A. Li-Fraumeni syndrome
B. DICER-1 syndrome
C. Turner syndrome
D. Beckwith-Wiedemann syndrome
E. Lynch syndrome",B. DICER-1 syndrome,"This girl has a virilizing ovarian mass, consistent with a testosterone-secreting stromal sex-cord
tumor—either a Sertoli-Leydig cell tumor or a gynandroblastoma, which is extremely rare in
children. Approximately 50% of patients with these tumors have a germline mutation of DICER-
1. Other malignancies occurring in DICER-1 families include pleuropulmonary blastoma, cystic
nephroma, Wilms’ tumor, medulloblastoma, ciliary body medulloepithelioma, and uterine cervix
embryonal rhabdomyosarcoma.",100mcq's
"Retinoblastoma, Germ Cell Tumors, and Hepatoblastoma","A 3-year-old boy is referred to you for evaluation of right leukocoria. Funduscopic
examination under anesthesia reveals a large amelanotic mass occupying more than twothirds
of the vitreous space in his right eye, with massive retinal detachment, consistent with
group E retinoblastoma. The left eye is normal. An MRI confirms the funduscopic findings
and shows no extraocular disease. What is the most appropriate next step in the management
of this child’s disease?
A. Enucleation
B. Systemic chemotherapy
C. Brachytherapy
D. Needle biopsy
E. Intravitreal chemotherapy",A. Enucleation,"This boy has unilateral group E retinoblastoma. The standard of care for advanced intraocular
disease is enucleation, followed by risk-adapted chemotherapy based on pathology. In some
cases, systemic or intra-arterial chemotherapy together with intensive focal treatments may be
offered for unilateral group E retinoblastoma, but the risks and benefits of this conservative
approach need to be discussed in detail with the family. Brachytherapy may be used for small
tumors that are not amenable to laser or cryotherapy but not for large tumors occupying the
cavity. Intravitreal chemotherapy is used for the treatment of vitreous seeds. Finally, a biopsy is
not recommended in the management of retinoblastoma because of the risk of orbital
53
contamination. Retinoblastoma is one of the few malignancies in which treatment decisions are
made without histologic confirmation.",100mcq's
"Retinoblastoma, Germ Cell Tumors, and Hepatoblastoma","A 9-month-old boy has been referred to you for the evaluation of an enlarged abdomen.
Imaging studies show a large liver mass (PRETEXT III). Alfa-fetoprotein is 98 ng/mL, and a
CT scan of the lungs show bilateral lung metastases. A needle biopsy is performed, and you
are planning to review the specimen with the pathologist. Which of the following diagnoses
are you suspecting?
A. Pure fetal histology hepatoblastoma
B. Embryonal sarcoma of the liver
C. Fibrolamellar hepatocellular carcinoma
D. Small cell undifferentiated hepatoblastoma
E. Conventional hepatocellular carcinoma",D. Small cell undifferentiated hepatoblastoma,"This is a typical presentation of a small cell undifferentiated hepatoblastoma: infant with a very
aggressive primary liver tumor and low alfa-fetoprotein. Small cell undifferentiated
hepatoblastomas share molecular alterations with rhabdoid tumors (hSNF5 alterations), and on
standard pathology they have absent INI staining. Pure fetal histology hepatoblastoma usually
presents with localized disease and has an excellent prognosis. Fibrolamellar and conventional
hepatocellular carcinomas, while also having a very aggressive clinical behavior, present in the
second decade of life. Embryonal sarcoma of the liver is a less aggressive malignancy that
usually presents after 3 years of age.",100mcq's
Immunology and Immunodeficiency,"Which statement is correct regarding lymphocyte counts in infants versus adults?
A. NK-cell numbers are lowest at birth and increase with age.
B. B-cell numbers are highest at birth and decline with age.
C. T-cell numbers in infants are higher than in adults.
D. Infants have low lymphocyte counts that increase with age.",C. T-cell numbers in infants are higher than in adults.,"T-cell counts are highest in infancy and decline with age. Option A is incorrect because NK-cell
counts are high at birth and thereafter do not vary much with age. B-cell numbers increase in
toddlers and young children and then go back down in adults; therefore, they are not highest at
birth and option B is incorrect. The absolute lymphocyte count is higher in infants, averaging
around 6,000/mcL compared with 2,000/mcL in adults (largely because of higher T-cell counts);
therefore, option D is incorrect.",100mcq's
Immunology and Immunodeficiency,"A 4-year-old girl with a history of relapsed pre-B-cell acute lymphoblastic leukemia is being
admitted for unrelated donor bone marrow transplantation with cyclophosphamide and total
body irradiation conditioning. Pretransplant workup shows the following:
Recipient
CMV IgG: negative
CMV IgM: negative
HSV I/II antibody: negative
Varicella IgG: positive (vaccinated)
Hepatitis B surface antigen: negative
Hepatitis B surface antibody: positive (vaccinated)
Hepatitis B core antibody: negative
Hepatitis C antibody: negative
Donor
CMV IgG: negative
CMV IgM: negative
HSV I/II antibody: positive
Varicella IgG: positive
Hepatitis B surface antigen: negative
Hepatitis B core antibody: negative
Hepatitis C antibody: negative
10
How should the patient be managed during the admission with respect to infection
prophylaxis?
A. Acyclovir IV for herpes simplex virus (HSV) suppression
B. Weekly screening by polymerase chain reaction (PCR) for cytomegalovirus (CMV) in
blood
C. Antifungal prophylaxis
D. Valganciclovir PO for CMV suppression
E. Foscarnet IV for CMV suppression",C. Antifungal prophylaxis,"The profound and prolonged neutropenia induced by myeloablative conditioning for allogeneic
transplantation puts the patient at high risk of invasive fungal infection, and prophylaxis is
routine. Option A is incorrect because the patient is herpes simplex virus (HSV) seronegative.
Although the donor is seropositive, HSV is not transmitted by donor cells. Options B, D, and E
are incorrect because neither the donor nor the recipient are cytomegalovirus (CMV)
seropositive, so screening and prophylaxis are not required.",100mcq's
Immunology and Immunodeficiency,"You are asked to evaluate a 2-day-old boy in the newborn nursery with petechiae who has a
platelet count of 8,000/mcL. On further questioning, you learn that he had a maternal uncle
who died of intracerebral hemorrhage as a toddler. There is no eczema on physical
examination. Review of the smear shows anisocytosis; poikilocytosis; normal white blood
cell morphology; and small, infrequent platelets. The neonatologists have sent human platelet
antigen (HPA)-1a testing from both parents, which is pending.
Which of the following is the most likely diagnosis?
A. Congenital infection
B. Neonatal alloimmune thrombocytopenia
C. Wiskott-Aldrich syndrome
D. May-Hegglin anomaly",C. Wiskott-Aldrich syndrome,"Wiskott-Aldrich syndrome is characterized by a classic triad of microthrombocytopenia, eczema,
and immunodeficiency; the latter two manifestations are commonly absent in neonates. In
addition, the maternal male relative having any manifestation of Wiskott-Aldrich syndrome
(including lymphoma) is a tip-off. The presentation is not suggestive of congenital infection, so
option A is incorrect. The finding of small platelets is inconsistent with immune
thrombocytopenia, so option B is incorrect. May-Hegglin anomaly caused by autosomal
dominant mutations in the MYH9 gene typically manifests as mild macrothrombocytopenia;
therefore, option D is incorrect.",100mcq's
 Neuroblastoma and Related Tumors,"You are seeing a 12-year-old female who presented to the emergency department with the
sudden onset of severe abdominal pain. Imaging that was obtained to rule out appendicitis
revealed a mass adjacent to the bladder. The mass was surgically resected, and pathology
demonstrated a paraganglioma. Which of the studies below would be most useful to
determine disease stage for this patient?
A. Bone Scan
B. Lumbar puncture for cerebrospinal fluid cytology
C. Bone marrow aspirate and biopsy
D. Ga 68-DOTATATE PET/CT
E. MRI of the brain",D. Ga 68-DOTATATE PET/CT,"Ga 68 dotatate is a radioisotope that binds to the somatostatin receptor. Based on the intensity of
signals detected, PET images obtained using Ga 68 dotatate indicate the presence and density of
somatostatin receptors in tissues. In 2016 the FDA approved Ga 68-DOTATATE PET for adult
and pediatric patients with somatostatin positive neuroendocrine tumors (NETs), including
56
pheochromocytoma and paraganglioma. Ga 68-DOTATATE PET is now the gold standard
imaging modality for NETs. 123I-MIBG scans can also be used for the staging of
pheochromocytoma and paraganglioma. Lumbar puncture, bone marrow aspirate and biopsy, and
MRI of the brain are not indicated in the routine staging of these diseases. Although bone scan
can detect bony metastases in pheochromocytoma and paraganglioma, Ga 68-DOTATATE PET
is both more sensitive and specific",100mcq's
Neuroblastoma and Related Tumors,"Your patient with relapsed high-risk neuroblastoma returns to your care after travelling to an
outside institution for 131I-MIBG therapy. In the weeks following 131I-MIBG therapy, what
adverse events directly attributable to this therapy will the patient most likely encounter?
A. Myelosuppression requiring growth factor and blood product support
B. Severe mucositis
C. Hemorrhagic cystitis
D. Symptomatic hypothyroidism
E. Renal failure",A. Myelosuppression requiring growth factor and blood product support,"The need for blood product support (both packed red blood cells [PRBC] and platelets) and
growth factor support in the weeks following 131I-MIBG therapy is very common and expected.
Many heavily pretreated patients require autologous stem cell infusion following 131I-MIBG
therapy. Severe mucositis and hemorrhagic cystitis are not commonly associated with 131I-MIBG
therapy. Although renal failure could be attributed to 131I-MIBG therapy, it is rare.
Hypothyroidism is a very common finding but typically does not occur acutely. Evidence of
effects on the thyroid is often based on laboratory studies, and many patients are asymptomatic.",100mcq's
